field_1,Antenas,Nombres,Lat,Long,CentroLat,CentroLong,MINVU,Area
3594,MBMAF,MBMAFAA,-33.415669440000002,-70.592888888900006,-33.415635919499998,-70.592888187900002,gran santiago,5689.25
162,PDREA,PDREAU2,-33.508549000000002,-70.614835999999997,-33.508723649700002,-70.613648082599994,gran santiago,736550.67
3496,HBSEC,HBSECU3,-22.449912000000001,-68.942995999999994,-22.449563591899999,-68.942778352299996,calama,62047204.61
7352,HNUN5,HNUN5U1,-33.457121399999998,-70.567735819999996,-33.456719092999997,-70.567735819999996,gran santiago,273322.56
45,COLG1,COLG1L0,-33.175122999999999,-70.652854000000005,-33.175122999999999,-70.652854000000005,gran santiago,67263080.56
847,BUPAF,BUPAFU2,-29.964588880000001,-71.341808333299994,-29.964864074200001,-71.340935584799993,gran la serena,453979.47
3420,ARENA,ARENAU2,-33.462699999999998,-70.661799999999999,-33.462699999999998,-70.661799999999999,gran santiago,34874.08
282,SPOLV,SPOLVAB,-33.404860999999997,-70.566999999999993,-33.404458693000002,-70.566165294699999,gran santiago,156239.54
7151,BERNA,BERNAW2,-33.518984000000003,-70.668778000000003,-33.519386306999998,-70.667942187400001,gran santiago,914410.90
5338,DERAU,DERAUU2,-27.414449999999999,-70.358050000000006,-27.415652328299998,-70.358168498699996,copiapo,52978769.45
75,BOQUI,BOQUIW3,-32.785888999999997,-71.527610999999993,-32.785888999999997,-71.528568076200003,quintero,5394000.07
12249,WADDI,WADDIU2,-33.029527999999999,-71.633471999999998,-33.029779441899997,-71.633991461700006,gran valparaiso,717447.20
2386,RNCEN,RNCENL0,-32.971375000000002,-71.544291999999999,-32.971375000000002,-71.544291999999999,gran valparaiso,551117.28
4227,BALG1,BALG1X,-33.607201000000003,-70.545501999999999,-33.606255887700001,-70.545088974500004,gran santiago,2409570.54
3484,RNOF2,RNOF2U3,-40.794310000000003,-73.221660000000000,-40.795558462300001,-73.222612122200005,rio negro,162821564.58
1436,SJMAF,SJMAFU1,-39.529434000000002,-72.959958999999998,-39.528355352399998,-72.961132449299996,san jose de la mariquina,145190748.02
3059,NTE2U,NTE2UU7,-33.679079999999999,-70.985900000000001,-33.678644275899998,-70.984461405299996,el monte,6575199.83
