Comuna,Pob_Comun_2002,Conurbacion,Pob_Conurb_2002,vehicle,motor vehicle,Non-motorized vehicle,private transport,public transport,CO2(movil transport sources),Green spaces ,Iliteracy,Municipal spending(M$/hab),Unemployment,Crime reports,Arrested person,Companies,Sales,workers,Income(workers),Professional technicians,University Professional,Professionals,Solid Waste,Municipal spending for Power Consumption,Municipal spending for Water Consumption,"Municipal Spending cleaning services, garbage collection, landfill",Deaths,Birthrate,Year of scholarship,Offence Against Property,Offence Against the Person,Burglary,Robbery,Injuries,Indigenous,Emergency attendence,Respiratory Diseases,Cardiovascular Diseases,Hospitalizations,Street length
Santa Cruz,32387,Santa Cruz,20691,5329,5160,169,4309,449,,97161,817.512654,17395.0577,934.300176,417,274,2685,6030777.54,9921,666519.9145,1233.9447,1376.4475,2610.3922,8798,298180,23541,470047,224,460,117224.7465,250.99957387,165.9963298,79.7076457,6.7235412,151.733095,459.8954,58909,13421,2872,2277,53131.39893
Santa María,12813,Santa Maria,6443,1682,1634,48,1362,74,,14094.3,251.73777978,6024.6726,247.4549064,232,26,762,1617938.64,4671,234330.2841,367.7331,397.203,764.9361,4843,165829,19704,2902,80,270,44892.13932,132.99996504,98.9983632,67.1695899,0.9596937,71.0058021,180.6633,,,,,13828.23275
Talagante,59805,Talagante,49957,6680,6538,142,5528,748,,149512.5,759.68437545,23114.6325,1662.531156,1196,374,2889,8628992.72,16601,1328829.5483,3588.3,4210.272,7798.572,30828,524114,95645,817957,318,979,211343.6934,712.0000548,483.9958845,412.905681,124.6156785,282.7161765,962.8605,112703,33940,3877,2963,148666.52535
Maule,16837,Talca,210339,834,812,22,726,31,,45459.9,834.23361468,9090.2963,343.070712,241,11,1282,2717423.21,3262,243744.8147,255.9224,399.0369,654.9593,9651,318426,42950,439665,155,625,55998.1783,150.99977221,89.9988161,86.2929924,7.5042509,76.9130997,215.5136,,,,,24476.50647
Pencahue,8315,Talca,210339,2656,2585,71,2351,56,,,,,,50,4,494,1691417.76,1205,107564.7171,,,,4275,107123,8516,113561,68,84,,,,,,,,,,,,5164.71563
San Clemente,37261,Talca,210339,3490,3374,116,2893,78,,70795.9,1465.0130936,17285.3779,911.0165456,376,122,2241,2632216.78,5367,372178.8945,678.1502,599.9021,1278.0523,18443,389681,101051,666954,199,582,96933.37367,210.99972775,164.9954341,99.3899914,7.7950012,151.0374635,272.0053,51309,20061,763,,43015.44076
Talca,201797,Talca,210339,28137,27781,356,24523,1907,83857.35,665930.1,2410.9494778,90707.7515,4891.89426302,5946,1530,12556,42678772.61,62310,6668746.7757,11058.4756,19110.1759,30168.6515,71601,1552266,279346,3494398,1219,3041,552746.19864,4650.99909427,1294.9918881,2922.0407397,296.5608712,779.7839674,1755.6339,391414,134888,8463,11870,632439.8579
Taltal,11100,Taltal,9564,959,921,38,774,107,,,161.618997,15140.4,294.570357,240,77,631,1185221.39,901,113779.2561,307.47,395.16,702.63,3679,293252,81648,242910,61,175,50119.83,135.999864,104.00034,68.11515,9.87123,88.84662,101.01,27518,6372,387,109,22007.09197
Teno,25596,Teno,6729,4425,3888,537,2945,125,,33274.8,1485.52298676,12705.8544,481.91918436,255,29,1802,7139610.94,8198,537253.6465,504.2412,414.6552,918.8964,13052,276249,15223,199362,128,338,84836.40624,165.99978648,88.997292,93.9219624,2.9025864,78.4312632,102.384,26652,7066,351,285,15984.71413
Tiltil,14755,Tiltil,5168,1838,1696,142,1494,60,,5902,250.3359859,11508.9,239.8835439,164,33,613,3466437.85,2361,294326.7613,571.0185,445.601,1016.6195,6672,277497,20037,,77,220,51362.00745,92.9998797,70.998109,60.4910735,3.8407265,58.568497,275.9185,24849,7684,235,111,32450.80376
