X,Y,NOMBRE,TIPO_AREA,SHAPE_Leng,SHAPE_Area,datos_com_conb_Comuna,datos_com_conb_Pob_Comun_2002,datos_com_conb_Conurbacion,datos_com_conb_Pob_Conurb_2002,datos_com_conb_vehicle,datos_com_conb_motor vehicle,datos_com_conb_Non-motorized vehicle,datos_com_conb_private transport,datos_com_conb_public transport,datos_com_conb_CO2(movil transport sources),datos_com_conb_Green spaces,datos_com_conb_Iliteracy,datos_com_conb_Municipal spending(M$/hab),datos_com_conb_Unemployment,datos_com_conb_Crime reports,datos_com_conb_Arrested person,datos_com_conb_Companies,datos_com_conb_Sales,datos_com_conb_workers,datos_com_conb_Income(workers),datos_com_conb_Professional technicians,datos_com_conb_University Professional,datos_com_conb_Professionals,datos_com_conb_Solid Waste,datos_com_conb_Municipal spending for Power Consumption,datos_com_conb_Municipal spending for Water Consumption,"datos_com_conb_Municipal Spending cleaning services, garbage collection, landfill",datos_com_conb_Deaths,datos_com_conb_Birthrate,datos_com_conb_Year of scholarship,datos_com_conb_Offence Against Property,datos_com_conb_Offence Against the Person,datos_com_conb_Burglary,datos_com_conb_Robbery,datos_com_conb_Injuries,datos_com_conb_Indigenous,datos_com_conb_Emergency attendence,datos_com_conb_Respiratory Diseases,datos_com_conb_Cardiovascular Diseases,datos_com_conb_Hospitalizations,datos_com_conb_Street length
-72.22919626,-39.2884835,Villarrica,Ciudad,12099.52085,4925456.444,Villarrica,45531,Villarrica ,27408,6454,6260,194,5664,364,,50084.1,905.338404,25119.4527,798.2066929,1209,233,2862,4802937.87,6863,581942.6679,1411.461,2709.0945,4120.5555,13767,511089,36118,295983,269,778,135652.3295,765.9994294,442.9984176,434.2564656,57.0913209,339.7295565,4808.0736,44136,11398,925,2604,121520.0521
-72.15685145,-39.48691978,Lican Ray,Pueblo,10602.93432,2802120.395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.0704907,-38.03390943,Puren,Ciudad,9083.360144,2548859.043,Pur̩n,12868,Pur̩n,7604,989,970,19,796,54,,24449.2,449.7345411,6437.8604,206.8278787,249,36,507,1131654.09,828,108814.4249,169.8576,396.3344,566.192,6331,134995,16261,123636,89,170,41651.1424,123.0000648,125.9983088,52.2029024,6.0235108,116.4528264,696.1588,17168,6332,252,380,25142.86285
-72.37580607,-38.06252093,Ercilla,Pueblo,6072.51512,1340279.576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-72.43159536,-37.95687231,Collipulli,Ciudad,7652.754032,2456089.454,Collipulli,22354,Collipulli,14240,2860,2729,131,2164,150,,11177,630.0477135,12484.709,492.738045,236,168,938,1329614.31,3893,219246.3864,315.1914,684.0324,999.2238,7670,263122,19023,290894,162,378,52661.10612,109.9997867,125.998321,72.2615404,14.8475268,104.9274406,1479.8348,45165,16000,862,769,41415.5201
-72.45175282,-38.63638537,Pillanlelbun,Pueblo,6208.246609,1565850.614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.16402004,-39.17878743,Tolten,Pueblo,4971.585599,836704.8741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-72.90583755,-38.16643496,Lumaco,Pueblo,4713.361525,812004.7634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-72.8368556,-37.98001845,Los Sauces,Pueblo,8421.270273,1516023.585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-72.11619938,-38.6604719,San Patricio,Aldea,3996.741231,789303.7001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
